name,url
Iran Barkley,https://boxrec.com/en/box-pro/447
Lyndon Arthur,https://boxrec.com/en/box-pro/769852
Hector Camacho,https://boxrec.com/en/box-pro/607
Callum Johnson,https://boxrec.com/en/box-pro/552122
Ricardo Mayorga,https://boxrec.com/en/box-pro/16901
PL,https://boxrec.com/pl/box-pro/779719
Jose Armando Resendiz,https://boxrec.com/en/box-pro/827946
Jean Pascal,https://boxrec.com/en/box-pro/290691
Brian Mendoza,https://boxrec.com/en/box-pro/686766
Eumir Felix Marcial,https://boxrec.com/ru/box-pro/851620
Khalil Coe,https://boxrec.com/en/box-pro/861528
